Bank Code,IFSC
MAMX,UTIB0SMMCB1
MANX,YESB0TMNS02
MAPX,ICIC00MPCUB
MASX,IBKL0478MCB
MAVX,KKBK0SMSB01
MAWX,YESB0MWCB01
MAYX,ICIC00TMUCB
MBCX,WBSC0MGCB01
MBGX,PUNB0MBGB06
MBLX,ICIC00MMCBL
MCAX,ICIC00MUCBA
MCBL,MCBL0960009
MCBX,NA
MCCX,UTIB0SMCC01
MCDX,ICIC00MUZAF
MCLX,UTIB0SMCCB1
MCOX,UTIB0SMUCB1
MCSX,KKBK0MSCB01
MCUX,HDFC0CMCUBL
MDCB,MDCB0680001
MDCX,TNSC0010600
MDEX,MDBK0000001
MDGX,SBIN0RRMRGB
MDIX,KSCB0008001
MDMX,YESB0MAN001
MDPX,ICIC00MDPPC
MEDX,APBL0017001
MERX,SBIN0RRMEGB
MEUX,FDRL01MEUCB
MFCX,IBKL0294MCC
MFUX,HDFC0CMFUCB
MGBX,MAHG0004000
MGCB,IBKL0452MCB
MGCX,HDFC0CMCBLD
MGDX,IBKL0414MCB
MGSX,UTIB0SMNSB1
MHCB,MHCB0000532
MHCX,UTIB0SMUC12
MHLX,NA
MHMX,IBKL0116MCO
MHNX,YESB0MNSB01
MHSX,HDFC0CMASBL
MHUX,ICIC00MAUCB
MIZX,YESB0MAB001
MJCX,IBKL01078MJ
MKYX,GSCB0UMCCBL
MLCG,UTIB0SMLCBK
MLDX,WBSC0MALD15
MMCX,KKBK0MMCB01
MMMX,HDFC0CMNSBM
MNBX,HDFC0CTMCNB
MNCX,UTIB0SMSA01
MNSX,IBKL0443MNB
MOGX,UTIB0SMCB01
MOUX,NA
MPCX,UTIB0SMPCB1
MPDX,IBKL0209M01
MPRX,CBIN0MPABAA
MRBX,PUNB0RRBMRB
MRTX,IBKL0101MCB
MSAX,SRCB0001MCB
MSBL,HDFC0CMALAD
MSBX,IBKL0553MSC
MSCI,MSCI0082002
MSCX,YESB0MSCB01
MSNU,MSNU0000001
MSNX,GSCB0MSN001
MSOX,HDFC0CMANCB
MSSX,IBKL01241MB
MUBL,MUBL0000001
MUBX,IBKL0031MCB
MUCG,UTIB0SMUCBG
MUDX,HDFC0CMUDCB
MUNX,UTIB0STMNBI
MUPX,ICIC00MUPCB
MURX,WBSC0MCCB01
MUSX,HDFC0CMUSLM
MVCX,HDFC0CTMCBL
MVIX,HDFC0CMPSSB
MYAX,YESB0MCA001
MYCX,ORCB0MYB001
MYSX,KSCB0007001
MZCX,YESB0MUDC01
MZRX,SBIN0RRMIGB
NABX,HDFC0CNSBLN
NACX,IBKL0780NCB
NADX,IBKL0114NUB
NAGX,SBIN0RRNLGB
NAIX,YESB0NDCB01
NALX,UTIB0SNUC01
NANX,UTIB0SNDCC1
NASX,ICIC00NDCCB
NAUX,RSCB0028099
NAVX,NVNM0000001
NAWX,IBKL0427NCB
NBBX,UTIB0SNCB01
NBCX,UTIB0SNUCB1
NBMX,HDFC0CNSBMV
NCBL,KKBK0TNCB02
NCBX,UTIB0SNWS01
NCCX,HDFC0CNCCBL
NCOX,HDFC0CNUB01
NCUX,FDRL0NCUB01
NDCB,IBKL0452ND1
NDCX,TNSC0010700
NDDX,WBSC0NDCB01
NDOX,ORCB0NGR001
NESF,NESF0000001
NEYX,KKBK0NTCUB1
NGBX,YESB0NSB001
NGKX,INDB0NSBG01
NGNX,HDFC0CNGUBL
NGRX,IBKL01064NS
NGSB,NGSB0000001
NGSX,HDFC0CNSBLD
NGUX,HDFC0CNUCB2
NICB,NICB0000001
NIDX,ICIC00NIDHI
NILX,HDFC0CNUCBH
NIRX,HDFC0CNB311
NIUX,IBKL0340NCU
NJCX,ICIC00NVJVN
NJGX,BKID0NAMRGB
NJMX,HDFC0CNJMVB
NJSX,IBKL0458NJM
NKGS,NKGS0000001
NLGX,APBL0023001
NMCB,NMCB0000001
NMCX,IBKL0123NMC
NNCX,GSCB0UNNCBL
NNSB,NNSB0000001
NOBX,YESB0NCB001
NOIX,INDB0NCCB00
NOSC,NOSC0000MUM
NPCX,UTIB0NPCB01
NPKX,KKBK0NZSPK1
NRDX,YESB0NRDB01
NRMX,UTIB0SNRP03
NSBB,IBKL0100NS2
NSBX,IBKL0015NSB
NSCX,UTIB0SNSCB1
NSGX,YESB0NBGKPI
NSJX,HDFC0CNSBMJ
NSMX,NA
NSPB,NSPB0000001
NSPX,ICIC00NGSBL
NSRX,HDFC0CNSBLR
NTBL,NTBL0DEL080
NUBX,HDFC0CNUCBL
NUCX,KKBK0NCUB01
NULX,IBKL01870N1
NVCX,HDFC0CNUCBK
NVSX,YESB0NVSB01
NWCX,YESB0NCCB01
ODCX,YESB0DCC001
ODGB,IOBA0ROGB01
OIBA,DOHB0000001
OMCX,HDFC0COMC01
ONSX,YESB0OMKAR1
ORCB,ORCB0000001
OSMX,HDFC0COJSBL
PABX,IDIB0PLB001
PACX,RSCB0029099
PADX,GSCB0UPNSBL
PALX,HDFC0CPUB04
PANX,GSCB0PDC001
PARX,YESB0PDBHO1
PASX,UCBA0RRBPBG
